"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"DDD","3D Systems Corporation","47.42","4818419131.96","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","118.26","81622415761.2","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"AHC","A.H. Belo Corporation","7.43","165786102.67","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"AIR","AAR Corp.","24.71","968542277.99","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","28.94","2193837997.38","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","22.28","51163733091.68","n/a","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","36.75","57288276181.5","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","45.32","71774603446.48","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","51.8","4058380246.2","n/a","1996","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf",
"ABM","ABM Industries Incorporated","26.01","1423723597.47","n/a","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","25.83","1422598098.6","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr",
"ACN","Accenture plc.","74.59","50403256395.5","n/a","1986","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"ACMP","Access Midstream Partmers, L.P.","48.1","9621007454.5","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/acmp",
"ACCO","Acco Brands Corporation","6.81","773160996.66","n/a","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/acco",
"AH","Accretive Health, Inc.","9.98","970723043.24","n/a","2010","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ah",
"ACW","Accuride Corporation New","5.51","261590390.7","n/a","2005","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/acw",
"ACE","Ace Limited","91.95","31273900304.7","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ace",
"ATV","Acorn International, Inc.","2.25","61829968.5","n/a","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/atv",
"ACT","Actavis, Inc.","135.89","18095278185.8","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/act",
"ATU","Actuant Corporation","36.84","2698785153.84","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atu",
"AYI","Acuity Brands Inc","88.29","3781417879.35","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ayi",
"ADX","Adams Express Company (The)","12.58","1170208482.36","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adx",
